GEOID10,DP0010001,NEIGHBORS
48201232302,9020,"48201252000,48201252200,48201232401,48201232301"
48201232301,8913,"48201252000,48201232401,48201232302,48201250402,48201232000,48201231200,48201232200,48201231100,48201232500"
48201251901,9353,"48201251902,48201251700,48201252000,48201251800,48201250402"
48201250402,13962,"48201251700,48201252000,48201251901,48201250302,48201250800,48201250401,48201250702,48201232200,48201232301,48201250301"
48201250302,9742,"48201250402,48201250401,48201250500,48201250100,48201250301,48201250600"
48201250301,8587,"48201250302,48201250402,48201232200,48201250200,48201250100"
48201450600,4310,"48201451500,48201451601,48201450500,48201450400,48201450700,48201450300,48201451200"
48201450700,6461,"48201430900,48201431000,48201430800,48201451500,48201450600,48201450400,48201450200,48201450801,48201450100,48201450300,48201451100,48201451200"
48201450900,2434,"48201431000,48201432300,48201450802,48201452201,48201451001,48201451100,48201452100"
48201211000,2039,"48201211100,48201211200,48201210800,48201210900"
48201211100,6004,"48201211000,48201212400,48201211200,48201211700,48201212300,48201211300,48201210800"
48201211200,2831,"48201211000,48201211100,48201211700,48201210900,48201230100,48201230200"
48201211300,5046,"48201211500,48201211600,48201212400,48201211100,48201211700,48201210100,48201212300,48201211400"
48201211400,3690,"48201212500,48201310500,48201211500,48201211600,48201100000,48201210100,48201212300,48201310100,48201310400,48201211300"
48201254200,3052,"48201254700,48201254400,48201254000,48201254100,48201254300"
48201254400,3253,"48201254700,48201254200,48201254300,48201254600,48201254500"
48201254500,2356,"48201343600,48201254400,48201253400,48201253600,48201254300,48201254600,48201253300"
48201254600,4067,"48201343600,48201254700,48201254400,48201254500"
48201254700,2029,"48201343600,48201254400,48201254200,48201254000,48201254100,48201254600,48071710200,48071710600"
48201310100,5884,"48201310300,48201310200,48201100000,48201210100,48201310400,48201211400"
48255970400,1430,"48255970300,48255970200,48255970100,48123970500,48123970400,48175960200"
48255970300,7281,"48255970200,48255970400,48297950100,48025950100,48175960200"
48255970200,3899,"48255970300,48255970400,48255970100,48013960100,48297950100"
48255970100,2214,"48177000600,48493000500,48255970200,48255970400,48123970500,48493000600,48013960100"
48505950400,5610,"48479001813,48479001818,48247950400,48427950202,48505950301,48505950302"
48505950301,4384,"48505950400,48505950302"
48505950302,4024,"48505950400,48505950301"
48387950700,2550,"48387950500,48387950600,48387950100,48277000300,48277000101"
48387950500,4907,"48387950700,48387950600,48387950100"
48387950600,2758,"48449950100,48387950500,48387950700,48387950100,48159950100,48277000300,48119950100"
48387950100,2645,"48343950100,48449950100,48037011600,48037011700,48387950500,48387950700,48387950600"
48201542301,12365,"48201542900,48201542302,48201542000,48201542200,48201542101"
48201542101,17754,"48201542301,48201542000,48201542200,48201541601,48201541500,48201541300,48201542102,48201541900"
48201541001,10368,"48201552101,48201540800,48201552002,48201541100,48201540902,48201541002,48201552200"
48201540901,2496,"48201540800,48201540902,48201540602,48201540700"
48201453501,6174,"48157671900,48201453601,48201453403,48201453602,48201453402,48201453502,48201453401"
48201453601,2108,"48201453501,48201453403,48201453602,48201452900,48201453000,48201452802,48201453700,48201453502"
48201453403,3133,"48201453601,48201453501,48201453602,48201453402"
48201453602,7699,"48201453100,48201453200,48201453601,48201453501,48201453403,48201453402,48201452900,48201453000,48201453300"
48201452802,5949,"48201453601,48201452900,48201452801,48201453700,48201452500"
48201451902,2466,"48201452100,48201451901,48201452000,48201452500"
48201454302,6490,"48201454400,48201454301,48157673002,48201454200,48201454100,48157672601"
48201451002,5109,"48201451001,48201451100,48201451200,48201451300,48201452100"
48201452202,2963,"48201432300,48201432400,48201452201,48201433001,48201452300,48201452100,48201452400"
48201450801,2170,"48201430900,48201431000,48201450802,48201450700,48201451100"
48201450802,5991,"48201431000,48201450900,48201450801,48201451001,48201451100"
48201240902,11756,"48201251100,48201250701,48201250600,48201241500,48201980100,48201240901,48339692002"
48201980100,603,"48201240902,48201241500,48201240901,48201240802,48201240400"
48201533802,6182,"48201533901,48201533701,48201550602,48201533801,48201533702,48201550700"
48201240502,5594,"48201240100,48201240600,48201240501,48201240400"
48201223002,3985,"48201222200,48201223001,48201222900,48201222300"
48201222502,4025,"48201222800,48201222402,48201222503,48201222501,48201222700,48201222600"
48201533801,8645,"48201533901,48201534001,48201533802,48201533701,48201533400,48201533500,48201533600,48201533702"
48201233703,2656,"48201324200,48201233702,48201233701,48201233500,48201324100,48201233300"
48201211500,6907,"48201212500,48201211600,48201212400,48201211300,48201211400"
48201211600,2811,"48201211500,48201211900,48201212400,48201211300,48201211400"
48201211700,3886,"48201230900,48201212400,48201211100,48201211200,48201232500,48201211300,48201230200"
48201211900,5225,"48201211600,48201212400"
48201220100,2097,"48201230400,48201210700,48201210800,48201210900,48201220200,48201230100,48201220300,48201220700,48201220800"
48201220200,3030,"48201210600,48201210700,48201530400,48201220500,48201530300,48201511600,48201220100,48201220300,48201220700"
48201220300,4509,"48201220500,48201220100,48201220200,48201220400,48201220700"
48201220400,5021,"48201220500,48201220600,48201220300,48201220700"
48201220500,4288,"48201530700,48201530500,48201221400,48201530400,48201530300,48201220200,48201221300,48201220600,48201220300,48201220400"
48201220600,3894,"48201221100,48201220500,48201221300,48201220400,48201220700"
48201310200,1463,"48201310300,48201312500,48201312300,48201312200,48201100000,48201310100"
48201310300,4774,"48201310500,48201312000,48201310600,48201311900,48201310200,48201312200,48201310100,48201310400"
48201310400,4084,"48201212500,48201310500,48201310300,48201310100,48201211400"
48201310500,4856,"48201310800,48201212500,48201310900,48201311000,48201310300,48201310600,48201310400,48201211400"
48201310600,6025,"48201310800,48201310900,48201310500,48201310300,48201311900,48201310700"
48201310700,4167,"48201310800,48201311200,48201310600,48201311900,48201311800"
48201310800,2490,"48201310900,48201310500,48201311200,48201310600,48201310700"
48201331700,3971,"48201331800,48201331601,48201333600,48201333700,48201331400,48201331500,48201331602,48201332400,48201332500"
48201331800,3682,"48201331700,48201331200,48201331400,48201331500,48201331900,48201332400"
48201540501,6024,"48201541602,48201541400,48201540601,48201540502,48201541700,48201543200"
48201551703,7692,"48201551600,48201551701,48201551702,48201534201"
48201534201,2582,"48201551600,48201551703,48201551702,48201534202,48201534100,48201551500"
48201533901,9260,"48201534002,48201533902,48201534001,48201533802,48201533801,48201550700"
48201533702,3498,"48201533802,48201533701,48201533600,48201533801"
48201451601,5886,"48201451500,48201450600,48201450500,48201451602,48201451403,48201454400"
48201451602,7317,"48201451500,48201451601,48201451700,48201451403,48201454400,48201454301"
48201451403,3504,"48201451500,48201451601,48201451700,48201451602,48201451402,48201451401,48201452000"
48201540502,5248,"48201540501,48201540601,48201540700,48201543200"
48201433501,6161,"48201453100,48201433100,48201422900,48201453200,48201433502,48201433400,48201423100,48201433600"
48201433502,7116,"48201453200,48201433501,48201453300,48201433600"
48201433002,4859,"48201432902,48201433003,48201433201,48201433001,48201433202,48201433300"
48201433201,5118,"48201433100,48201433003,48201433002,48201433202,48201433400"
48201433202,4336,"48201432902,48201433201,48201433002,48201433300,48201433400"
48201432802,5616,"48201421300,48201432902,48201432901,48201432801,48201433300,48201422702,48201422800"
48201432901,3484,"48201432600,48201432400,48201432500,48201432802,48201432902,48201432801,48201433001"
48201233701,5245,"48201324200,48201212500,48201233702,48201233500,48201233703,48201233600"
48201222402,5906,"48201222300,48201222800,48201222502,48201222503,48201222401"
48201222503,6614,"48201533701,48201533600,48201222502,48201222402,48201222401,48201222501"
48201222401,3701,"48201533701,48201533500,48201533600,48201222300,48201221800,48201221600,48201222800,48201221700,48201222402,48201222503"
48201222501,2860,"48201533701,48201222502,48201222503,48201222600"
48201533701,5695,"48201533802,48201550602,48201533600,48201533801,48201533702,48201222503,48201222401,48201222501,48201240100,48201222600,48201550700,48201550100,48201550500"
48201251800,1847,"48201251902,48201251700,48291701000,48201252700,48201251901"
48201220700,6317,"48201221100,48201221000,48201220100,48201220200,48201221300,48201220600,48201220300,48201220400,48201220800,48201220900"
48201220800,3289,"48201230400,48201230500,48201220100,48201230100,48201220700,48201220900"
48201220900,1852,"48201231700,48201230500,48201221000,48201222000,48201220700,48201220800"
48201221000,4037,"48201221800,48201221100,48201221900,48201222000,48201220700,48201220900"
48201221100,3598,"48201221800,48201221900,48201221000,48201221200,48201221700,48201221300,48201220600,48201220700"
48201221800,4285,"48201222300,48201221100,48201221900,48201221000,48201221200,48201221700,48201222401"
48201222000,2507,"48201231700,48201230500,48201221900,48201221000,48201222100,48201220900"
48201230100,1705,"48201230400,48201211200,48201210800,48201210900,48201220100,48201220800,48201230200"
48201230200,5054,"48201230800,48201230300,48201230400,48201230600,48201230900,48201211200,48201211700,48201210900,48201230100"
48201331900,3364,"48201331800,48201331100,48201331200,48201331400,48201332000,48201332400"
48201332000,5593,"48201331100,48201331200,48201332100,48201331900,48201332200,48201332400"
48201332100,3037,"48201331100,48201313600,48201313500,48201332000,48201313400,48201332200"
48201332200,4985,"48201311700,48201313500,48201332100,48201332000,48201313400,48201332400,48201332300,48201332600,48201332700"
48201332300,2918,"48201332200,48201332400,48201332500,48201332600"
48201332400,4271,"48201331700,48201331800,48201333600,48201332000,48201331900,48201332200,48201332300,48201332500"
48201332500,3257,"48201331700,48201333600,48201332400,48201332300,48201332600"
48201332600,6605,"48201333100,48201333000,48201333600,48201333500,48201332200,48201332300,48201332500,48201332700"
48201332700,2728,"48201333000,48201332900,48201311700,48201313400,48201332200,48201332600,48201332800"
48201332800,4617,"48201333000,48201332900,48201311700,48201332700"
48363000200,2191,"48133950100,48429950500,48363000300,48363000100,48143950100"
48363000300,3777,"48367140602,48367140601,48363000200,48363000400,48363000100,48221160302,48143950100"
48363000800,3003,"48363000900,48363000500,48363000600,48363000700,48363000400"
48363000900,2426,"48363000500,48363000800,48363000600,48363000400"
48363000700,3272,"48367140502,48363000800,48363000600,48367140601,48363000400"
48201532501,8895,"48201532400,48201532502,48201534202,48201534100,48201534203"
48201455101,7051,"48201454800,48201454900,48201454600,48201455102,48201455200,48201455000"
48201454501,8423,"48201542400,48201454600,48201454700,48201454502,48201541800,48201454400"
48201454301,10503,"48201451700,48201451602,48201451800,48201452600,48201454400,48201454302,48201454200,48201454100"
48201453402,8214,"48201453200,48201453501,48201453403,48201453602,48201453300,48201453401"
48201432902,4476,"48201432802,48201432901,48201433001,48201433002,48201433202,48201433300"
48201433001,5358,"48201432400,48201432500,48201452202,48201432902,48201432901,48201433003,48201433002,48201452300"
48201433003,4831,"48201453100,48201433100,48201433201,48201433001,48201433002,48201452300"
48201431401,2339,"48201431402,48201431501,48201431502,48201431302,48201432001"
48201431402,3209,"48201431401,48201431801,48201431501,48201431700,48201432001"
48201431501,3711,"48201431401,48201431402,48201431801,48201431600,48201431700,48201431502,48201431302"
48201432002,4734,"48201432600,48201431202,48201432100,48201431301,48201431302,48201432701,48201432702,48201432001"
48201431101,3303,"48201430900,48201431000,48201432300,48201432200,48201431102"
48201431102,3336,"48201431201,48201430400,48201432100,48201430900,48201431101,48201432200"
48201522401,5259,"48201522302,48201430700,48201430800,48201521900,48201522402,48201522100,48201522201,48201522202"
48201522402,3920,"48201430800,48201543200,48201540200,48201521900,48201522401"
48201252700,4163,"48201251902,48291701000,48201252600,48201252800,48201252100,48201251800"
48201253100,8439,"48201253200,48201253000,48201252800,48071710200,48071710100"
48201253600,5002,"48201253500,48201253400,48201253700,48201254300,48201254500"
48201253700,5227,"48201253500,48201253200,48201253600,48201253800,48201254100,48201254300"
48201413300,6897,"48201413201,48201314300,48201314400,48201412200,48201413202,48201412900,48201413000,48201413100,48201334100,48201420200,48201420100"
48201420100,3062,"48201314300,48201412900,48201413300,48201334100,48201420200"
48201420200,2547,"48201420300,48201420400,48201330200,48201412900,48201413300,48201334100,48201420100"
48201420300,3411,"48201420400,48201412900,48201420200,48201420800,48201420600,48201420700"
48201420400,3393,"48201420300,48201330200,48201420200,48201420600,48201420500"
48201230300,1803,"48201230800,48201230400,48201230600,48201230200"
48201230400,3719,"48201230300,48201230600,48201230500,48201220100,48201230100,48201220800,48201230200"
48201230500,4174,"48201231700,48201231600,48201230400,48201230600,48201230700,48201222000,48201220800,48201220900"
48201230600,2572,"48201230800,48201230300,48201230400,48201230700,48201230500,48201230200"
48201230700,2651,"48201230800,48201231400,48201231300,48201231500,48201231700,48201231600,48201230600,48201230500"
48201230800,2805,"48201231000,48201231400,48201231300,48201230300,48201230600,48201230700,48201230900,48201230200"
48201230900,4231,"48201231000,48201230800,48201231100,48201212400,48201211700,48201232500,48201230200"
48201231000,4282,"48201230800,48201231300,48201231200,48201230900,48201231100"
48201332900,5049,"48201320200,48201333000,48201311600,48201311700,48201320100,48201332700,48201332800"
48201333000,3315,"48201320200,48201320601,48201333100,48201332900,48201320100,48201332600,48201332700,48201332800"
48201333100,3663,"48201320200,48201320602,48201320601,48201333000,48201333600,48201333500,48201333201,48201332600"
48201333300,9372,"48201320700,48201321100,48201321000,48201320900,48201333800,48201333901,48201333902,48201333700,48201980000,48201333202"
48201980000,33,"48201333300,48201333600,48201333500,48201333700,48201333202"
48201333500,6433,"48201333100,48201333600,48201333700,48201980000,48201333201,48201333202,48201332600"
48201333600,3156,"48201333100,48201331700,48201333500,48201333700,48201980000,48201332400,48201332500,48201332600"
48201333700,3156,"48201331700,48201333800,48201333300,48201333901,48201333600,48201333500,48201980000,48201331602,48201330800"
48363000600,3188,"48367140502,48363000900,48363000500,48363000800,48363000700,48367140601,48363000400"
48363000500,1747,"48363000900,48363000800,48363000600,48363000400"
48363000400,5908,"48367140502,48363000900,48363000500,48363000800,48363000600,48363000700,48367140601,48363000300,48363000100"
48363000100,2599,"48503950400,48237950500,48367140502,48429950500,48363000200,48363000300,48363000400"
48201453401,3125,"48157671900,48201453501,48201453402,48201453300,48201440100,48157671800"
48201452201,5215,"48201431000,48201432300,48201432400,48201450900,48201452202,48201451001,48201452100"
48201451901,7411,"48201451902,48201451700,48201451800,48201452000,48201452500,48201452600"
48201451402,4543,"48201451300,48201451403,48201451401,48201452000"
48201451401,3330,"48201451500,48201451200,48201451300,48201451403,48201451402"
48201451001,4981,"48201450802,48201450900,48201452201,48201451002,48201451100,48201452100"
48201431201,4058,"48201431202,48201430400,48201432100,48201432200,48201431102"
48201423301,3701,"48201422600,48201423000,48201422500,48201423202,48201423302,48201422401"
48201422401,3910,"48201422402,48201422500,48201423301,48201423302,48201423401,48201422301"
48201421101,3729,"48201411700,48201432702,48201411600,48201431900,48201421500,48201421000,48201421102"
48201431202,4592,"48201431201,48201430400,48201432100,48201431301,48201432002,48201431502,48201430300"
48201431301,4516,"48201431202,48201432100,48201432002,48201431502,48201431302"
48201431302,3929,"48201431401,48201431501,48201431301,48201432002,48201431502,48201432001"
48201431502,3471,"48201431401,48201431501,48201431600,48201431202,48201431301,48201431302,48201430300"
48201423201,3233,"48201423202,48201423100,48201440100,48201423402,48201423500"
48201423401,5153,"48201423202,48201423302,48201422401,48201422301,48201423600,48201423402,48201422200"
48201423302,5123,"48201423202,48201423301,48201423401,48201422401,48201422301,48201423402"
48201423202,6989,"48201423000,48201423201,48201423100,48201423301,48201423302,48201423401,48201423402,48201423500"
48201423402,4207,"48201423201,48201423202,48201423302,48201423401,48201423600,48201423500"
48201422301,7108,"48201422402,48201423302,48201423401,48201422401,48201423600,48201422200,48201422302"
48201420500,4041,"48201420400,48201330200,48201420600,48201330301,48201422100,48201330303"
48201420600,2232,"48201420300,48201420400,48201422000,48201420700,48201422100,48201420500"
48201420700,3139,"48201420300,48201412900,48201420800,48201421800,48201420600,48201422000,48201421900,48201422100"
48201420800,2512,"48201420300,48201412900,48201412800,48201421800,48201420900,48201420700,48201421900"
48201420900,6231,"48201412900,48201412700,48201412800,48201421500,48201421000,48201420800,48201421800,48201421700,48201421600"
48201421300,6635,"48201421403,48201432802,48201432801,48201421401,48201421202,48201421600,48201422701,48201422702"
48201421600,7014,"48201421403,48201421500,48201421000,48201421300,48201421700,48201420900,48201422600,48201422701"
48201421700,4560,"48201421800,48201421600,48201420900,48201422600,48201422701,48201421900,48201422500"
48201421800,5005,"48201420800,48201421700,48201420900,48201420700,48201421900"
48201421900,2690,"48201420800,48201421800,48201421700,48201422600,48201422402,48201422000,48201420700,48201422500"
48201422000,2539,"48201422402,48201420600,48201420700,48201421900,48201422500,48201422100"
48201231100,4729,"48201232401,48201231000,48201231300,48201231200,48201232301,48201230900,48201232500"
48201231200,6698,"48201231000,48201231300,48201231900,48201232000,48201232200,48201232301,48201231100"
48201231300,4254,"48201231000,48201230800,48201231400,48201231900,48201231200,48201230700,48201231100"
48201231400,2379,"48201230800,48201231300,48201231500,48201231900,48201231800,48201231600,48201230700"
48201231500,2706,"48201231400,48201231800,48201231600,48201230700"
48201231600,2822,"48201231400,48201231500,48201231700,48201231800,48201230700,48201230500"
48201232500,3135,"48201232401,48201232900,48201232301,48201230900,48201231100,48201212400,48201232702,48201232403,48201211700,48201232600,48201232701"
48201333800,9228,"48201333300,48201333901,48039660400,48201350100,48201333700,48201331602,48201330800,48039660500"
48201340100,4618,"48201340201,48201321100,48201350500,48201350400,48201334002,48201324000,48201350601,48201340900,48201340800"
48201340400,1358,"48201341301,48201340301,48201340302,48201340203,48201340500,48201340600"
48201340500,6367,"48201341301,48201340301,48201340700,48201340600,48201340400,48201341100,48201341302"
48201340600,2511,"48201340301,48201340700,48201340500,48201340400,48201340800"
48201340700,7167,"48201340500,48201340600,48201341100,48201341000,48201340900,48201340800,48201341302"
48201340800,5734,"48201340301,48201340100,48201340202,48201340201,48201340700,48201340600,48201340900"
48201340900,4216,"48201340100,48201340201,48201340700,48201341000,48201350601,48201340800"
48201341000,6799,"48201350802,48201340700,48201341100,48201350601,48201340900"
48201341100,3832,"48201350802,48201341201,48201340700,48201340500,48201341000,48201350601,48201341302,48201341202"
48201341400,5156,"48201343700,48201341600,48201341502,48201341301,48201341501,48201340203,48167721500,48201341202"
48201341600,5463,"48201343700,48201341800,48201341700,48201341502,48201341501,48071710600,48167721600,48167721500,48201341400"
48201341700,2455,"48201343700,48201343600,48201341600,48201341800,48071710600"
48173950100,1226,"48317950200,48227950900,48461950100,48383950100,48431950100,48329010113"
48201342001,6843,"48201343700,48201342002,48201343000,48201340203,48201340202,48201340201,48201342100"
48201340301,4278,"48201340302,48201340202,48201340201,48201340500,48201340600,48201340400,48201340800"
48201334002,2089,"48201340100,48201321100,48201334001,48201350400,48201350200,48201334003"
48201334001,3178,"48201321100,48201333902,48201334003,48201334002"
48201333201,4998,"48201320602,48201320601,48201333100,48201333500,48201333202"
48201331601,6458,"48201331700,48201331500,48201331602,48201330800"
48201330301,7169,"48201330200,48201330400,48201330302,48201422100,48201420500,48201330303"
48201330302,5527,"48201330700,48201330200,48201330400,48201330301,48201330303,48157670400,48157670300,48157670200,48157670101"
48201251401,2446,"48339692400,48201251501,48201251402,48201251503"
48201250401,12134,"48201250302,48201250800,48201250402,48201250702,48201250500"
48201422302,2350,"48201422402,48201422301,48201422200,48201422100"
48201422402,6074,"48201422000,48201421900,48201422500,48201422401,48201422301,48201422100,48201422302"
48201422701,5083,"48201421403,48201421300,48201421700,48201421600,48201422600,48201422702,48201422800,48201423000"
48201422702,3347,"48201432802,48201421300,48201422701,48201433300,48201422800"
48201421402,3440,"48201421403,48201421500,48201421102,48201421401,48201421202"
48201421401,3626,"48201421403,48201421402,48201421300,48201421202"
48201421403,4363,"48201421402,48201421500,48201421300,48201421401,48201421600,48201422701"
48201432001,3464,"48201431401,48201431402,48201431801,48201432002,48201431302,48201432701,48201432702,48201431900"
48201432701,6721,"48201432600,48201432100,48201432002,48201421201,48201432702,48201432001,48201421102,48201432801"
48201432702,3384,"48201432002,48201432701,48201421201,48201432001,48201431900,48201421102,48201421101"
48201421201,4399,"48201432701,48201432702,48201421102,48201432801,48201421202"
48201432801,4767,"48201432600,48201432701,48201421201,48201432500,48201432802,48201421300,48201432901,48201421202"
48201421202,4145,"48201421201,48201421402,48201421500,48201421102,48201421300,48201432801,48201421401"
48201422100,5289,"48201422402,48201420600,48201422000,48201420700,48201330301,48201422200,48201420500,48201422302,48201330303"
48201422200,4421,"48201423401,48201422301,48201423600,48201422100,48201422302,48201330303"
48201422500,5647,"48201421700,48201422600,48201423000,48201422402,48201422000,48201421900,48201423301,48201422401"
48201422600,6380,"48201421700,48201421600,48201422701,48201422800,48201423000,48201421900,48201422500,48201423301"
48201422800,4916,"48201432802,48201422600,48201422701,48201433300,48201422702,48201422900,48201423000"
48201422900,5027,"48201433300,48201422800,48201423000,48201433501,48201433400,48201423100,48201433600"
48201423000,4695,"48201422600,48201422701,48201422800,48201422900,48201422500,48201423202,48201423100,48201423301"
48201423100,3161,"48201422900,48201423000,48201433501,48201453300,48201423201,48201423202,48201433600,48201440100"
48201423500,1927,"48201423201,48201423202,48201440100,48201423600,48201423402"
48201423600,6971,"48201423401,48201422301,48201440100,48201423402,48201423500,48201422200,48201330303"
48201232600,3000,"48201212500,48201233400,48201233300,48201212400,48201232702,48201232500,48201232701"
48201232800,5201,"48201233200,48201232900,48201233101,48201233001,48201232702"
48201232900,7254,"48201232401,48201232800,48201232402,48201233101,48201233001,48201232702,48201232403,48201232500"
48201233200,6232,"48201252500,48201233300,48201233103,48201232800,48201233101,48201232702"
48201233300,4818,"48201233400,48201233500,48201233703,48201252500,48201324100,48201233200,48201232702,48201232600"
48201233400,2757,"48201212500,48201233500,48201233600,48201233300,48201212400,48201232702,48201232600"
48201341800,1843,"48201343700,48201343600,48201341600,48201341700"
48201322900,4186,"48201323100,48201324100,48201323000,48201322800,48201322100"
48201323000,6318,"48201323100,48201324100,48201323300,48201322900,48201323200,48201322100"
48201323100,3333,"48201342400,48201342200,48201322700,48201322600,48201323802,48201323900,48201322900,48201323000,48201322800,48201323200"
48201323200,5612,"48201323100,48201323801,48201323802,48201323400,48201323900,48201323300,48201323000"
48201323300,3510,"48201323801,48201323400,48201323000,48201323200,48201322100"
48201323400,7431,"48201323801,48201323500,48201323600,48201323300,48201323200,48201322100"
48201323500,5377,"48201321200,48201321500,48201321402,48201323400,48201323600,48201321600,48201322100"
48419950200,3809,"48365950500,48365950600,48347950100,48401951200,48419950500,48419950300,48419950100,48347951100"
48419950100,5109,"48365950600,48419950600,48419950200,48419950300"
48419950600,3178,"48419950500,48419950300,48419950100,48405950100,48403950100"
48419950400,6003,"48419950500,48419950300"
48201241102,11643,"48201241000,48201241103,48201241101"
48201241101,4542,"48201241000,48201241103,48201241102,48201241400,48201241200"
48201240801,5157,"48201550302,48201553300,48201553200,48201553401,48201240701,48201240802,48201241300,48201241200,48201240400"
48201233702,3000,"48201233701,48201233500,48201233703"
48201233103,5164,"48201233102,48201252500,48201233200,48201233101"
48201232701,7235,"48201232702,48201232500,48201232600"
48201421102,5544,"48201432701,48201421201,48201432702,48201421402,48201421500,48201421101,48201421202"
48201413201,2626,"48201413202,48201413300,48201413100,48201412300"
48201431801,2967,"48201431402,48201431802,48201431501,48201431700,48201432001,48201431900"
48201431802,3695,"48201431801,48201411300,48201431700,48201411600,48201431900"
48201411501,5233,"48201411300,48201411502,48201411400,48201411800,48201411700,48201411600"
48201411502,3916,"48201411501,48201411000,48201411400,48201411800"
48201410401,3807,"48201411100,48201410800,48201410402,48201410300,48201411000"
48201410402,2556,"48201410701,48201410500,48201410401,48201410800,48201410200,48201410300"
48201410701,3640,"48201410500,48201410600,48201410800,48201410402,48201410702"
48201410702,2622,"48201410701,48201410600,48201312600,48201312500,48201410800,48201410900,48201411900"
48201343302,4763,"48201343301,48201343100,48201343200,48201342900,48201343000"
48201430600,3633,"48201430400,48201430500,48201430900,48201430700,48201430800"
48201430700,3284,"48201430500,48201522302,48201522301,48201430600,48201430800,48201522401"
48201430800,4348,"48201522302,48201430900,48201430600,48201430700,48201543200,48201522402,48201522401,48201450700,48201450100"
48201430900,5770,"48201430400,48201431000,48201430600,48201431101,48201431102,48201430800,48201450700,48201450801,48201450100"
48201431000,5239,"48201430900,48201432300,48201431101,48201432200,48201450802,48201450900,48201452201,48201450700,48201450801"
48201432200,4043,"48201431201,48201432600,48201432100,48201431000,48201432300,48201431101,48201431102,48201432400,48201432500"
48201432300,6521,"48201431000,48201431101,48201432200,48201432400,48201432500,48201450900,48201452201,48201452202"
48201432400,5548,"48201432300,48201432200,48201432500,48201452201,48201452202,48201432901,48201433001,48201452300"
48201432500,5529,"48201432600,48201432100,48201432300,48201432200,48201432400,48201432901,48201432801,48201433001"
48201233500,7796,"48201233702,48201233701,48201233400,48201233703,48201233600,48201233300"
48201233600,2127,"48201212500,48201233701,48201233400,48201233500"
48201252100,1720,"48201251902,48201252000,48201252600,48201252700,48201252200"
48201252200,7944,"48201252000,48201252600,48201252100,48201233002,48201252301,48201252302,48201232401,48201232302"
48201252400,6976,"48201252600,48201233003,48201233102,48201252301,48201252302,48201252500"
48201252500,4325,"48201252900,48201252600,48201233102,48201252400,48201343600,48201253300,48201324100,48201233300,48201233200,48201233103,48201232702"
48201323600,8378,"48201321200,48201323801,48201323802,48201323701,48201323400,48201323500,48201324000,48201323702"
48201323900,3875,"48201342400,48201342200,48201342100,48201323100,48201323802,48201323701,48201324000,48201323200"
48201324000,5561,"48201342002,48201340100,48201340201,48201342200,48201342100,48201321100,48201321200,48201323802,48201323701,48201323600,48201323900,48201323702"
48201330100,8313,"48201330500,48201334100"
48201330800,8571,"48201333800,48201331601,48201333700,48201331500,48201331602,48201330900,48039660602,48039660601,48039660500,48201330700,48157670700,48157670101"
48201331100,3843,"48201313900,48201313800,48201331200,48201334100,48201313600,48201313500,48201332100,48201332000,48201331900"
48201331200,3473,"48201331800,48201331300,48201331100,48201331400,48201334100,48201332000,48201331900"
48201331300,4647,"48201331200,48201331400,48201331500,48201330900,48201334100"
48201331400,2520,"48201331700,48201331800,48201331300,48201331200,48201331500,48201331900"
48419950300,4605,"48419950600,48419950500,48419950200,48419950400,48419950100"
48419950500,2744,"48419950600,48419950200,48419950300,48419950400,48347951100,48405950100"
48201223001,3591,"48201232200,48201222200,48201232100,48201222900,48201223100,48201223002"
48201555402,7774,"48201554801,48201555401,48339690402,48339690202,48201554802,48201555501"
48201555501,4324,"48201555502,48201554801,48339690402,48339690202,48339690100,48201555600,48201555402"
48201555502,17016,"48201554600,48201554700,48201554200,48201554502,48201554801,48201554501,48201555600,48201555501"
48201555701,7064,"48201555702,48201543001,48201554403,48201543002,48201556000,48201555600"
48201555702,9389,"48201555701,48201543001,48201556000"
48201555401,2445,"48201554801,48339690402,48201554802,48201555303,48201555402"
48201554801,14076,"48201554700,48201554200,48201554102,48201555502,48201555401,48201554802,48201555501,48201555402"
48201554802,15009,"48201554200,48201554102,48201554101,48201553802,48201554903,48201554801,48201555401,48201554901,48201555303,48201555402,48201553900,48201554902"
48201553802,7672,"48201554001,48201554903,48201553801,48201554802,48201553600,48201553900,48201553700"
48201341201,3974,"48167720501,48167720700,48201350802,48167721300,48201341100,48201341302,48201341202"
48201350801,4855,"48201350802,48167720200,48201350700,48201350602"
48201341202,4833,"48201341301,48167721500,48201341201,48167721300,48201341100,48201341302,48201341400"
48201341302,3133,"48201341301,48201341201,48201340700,48201340500,48201341100,48201341202"
48201350802,7084,"48167720501,48167720700,48201341201,48167720200,48201350801,48201341100,48201341000,48201350602,48201350601"
48201350601,4115,"48201340100,48201350100,48201350500,48201350802,48167720200,48201341100,48201341000,48167720100,48201350700,48201350602,48201340900"
48201350602,8714,"48201350802,48201350801,48201350700,48201350601"
48201340302,6814,"48201341301,48201340301,48201340203,48201340202,48201340400"
48201253800,7717,"48201253200,48201253700,48201253900,48201254100"
48201253900,4416,"48201253200,48201254000,48201253800,48201254100,48071710200"
48201254000,3594,"48201254700,48201254200,48201253900,48201254100,48071710200"
48201254100,5141,"48201254700,48201254200,48201254000,48201253700,48201253800,48201253900,48201254300"
