GEOID10,DP0010001,NEIGHBORS
48113019800,4252,"48113000606,48113000601,48113019700,48113000603,48113019502,48113007101"
48113019900,4269,"48113010704,48113006501,48113006700"
48113005600,6638,"48113005400,48113005902,48113005901,48113005700,48113006200,48113006002,48113006001,48113005500"
48113011500,3185,"48113004000,48113003902,48113008603,48113002701,48113009301,48113008400,48113020200,48113009303,48113009103,48113009101,48113003901"
48113017813,6087,"48113017702,48113017703,48113017814,48113017812,48113017811,48113017805,48113017804,48113017807"
48113012209,2984,"48113012301,48113012208,48113012204,48113008100,48113012400,48113008200,48113012210"
48113002200,2279,"48113002400,48113001502,48113001600,48113001504,48113001503,48113001701,48113003101,48113020400"
48113009103,3543,"48113009301,48113009104,48113009105,48113009303,48113011500,48113009101"
48113009105,4186,"48113009201,48113009202,48113009301,48113009104,48113009103"
48113018120,4668,"48113018105,48113018121,48113018123,48113018139"
48113012601,5734,"48113018127,48113012500,48113012702,48113012701,48113012603,48113018403,48113012604,48113018401"
48113012500,7824,"48113012702,48113018001,48113017900,48113012301,48113012400,48113012601,48113012603"
48113012400,5221,"48113012500,48113012702,48113012301,48113012209,48113008100,48113008200,48113012210,48113012800"
48113012302,6950,"48113017805,48113017806,48113017900,48113012301,48113012207,48113012211,48113012210"
48113012206,4605,"48113008500,48113008400,48113012207,48113012208,48113012204"
48113007819,2022,"48113007820,48113007818,48113007822,48113007815,48113007809,48113007903,48113007912,48113007911"
48113014312,5423,"48113014103,48113014310,48113014307,48113014311,48113014302,48113014205,48113014206,48113014137"
48113014205,1619,"48113014312,48113014307,48113014203,48113014204,48113014206"
48113013727,3235,"48113013722,48113020700,48113013616,48113013725,48113013726,48113013806,48113013803,48085031704"
48113013805,2357,"48113013726,48113013806,48113013803"
48113013806,2515,"48113013727,48113013616,48113009608,48113013804,48113009603,48113013805,48113013726,48113009604,48113013803"
48113007909,2049,"48113007903,48113007910,48113007912,48113007913,48113019302,48113007906"
48113013616,5611,"48113013727,48113013611,48113013620,48113013624,48113013626,48113009603,48113013625,48113013806,48113013615,48113009604,48085031704"
48113013617,2724,"48113013619,48113013605,48113013618,48113013621,48113013611,48113013620,48085031708,48085031718"
48113013618,2265,"48113019205,48113013619,48113013617,48113013605,48085031720,48085031718"
48113013619,4872,"48113013606,48113013617,48113013607,48113013605,48113013618,48113013621,48113013620"
48113013711,2867,"48113013712,48113013714,48113013901,48113013902"
48113013712,2311,"48113013711,48113013714,48113013715,48113013803,48113013902"
48113013713,1874,"48113014002,48113013714,48113013901"
48113016804,7439,"48113016703,48113016610,48113016620,48113016705,48113016803,48113016802"
48113016704,4132,"48113016703,48113016705"
48113016705,6742,"48113016703,48113016704,48113016803,48113016804"
48113016701,6084,"48113011200,48113011300,48113011401,48113016703,48113020200"
48113011401,4847,"48113011300,48113016701,48113008705,48113008701,48113020200"
48113011300,5088,"48113011200,48113016701,48113008704,48113008705,48113011401,48113005901,48113005700"
48113011200,6288,"48113011002,48113011103,48113011105,48113016605,48113005902,48113011300,48113016701,48113005901,48113016703,48113006002"
48113012204,5784,"48113012206,48113012207,48113012208,48113012211,48113012209,48113012210"
48113012211,3961,"48113017805,48113012302,48113012207,48113012204,48113012210"
48113012207,7336,"48113017805,48113012302,48113009000,48113012100,48113008500,48113008400,48113012206,48113012211,48113012204"
48113012208,2766,"48113008400,48113012206,48113012204,48113001202,48113002500,48113012209,48113008100"
48113012100,5731,"48113017805,48113009000,48113017602,48113017605,48113017606,48113012000,48113012207"
48113012000,7184,"48113009000,48113012100,48113017605,48113009201,48113011900"
48113007910,3202,"48113007903,48113007909,48113007912,48113007911"
48113007825,5429,"48113007811,48113007824,48113007827,48113007810,48113007812"
48113007824,1665,"48113007821,48113007825,48113007826,48113007827,48113007809,48113007812"
48113007826,350,"48113007821,48113013004,48113013008,48113007824,48113007827,48113007809"
48113007827,2363,"48113013004,48113013008,48113007811,48113007825,48113007824,48113007826"
48113013011,4794,"48113018506,48113013005,48113013007,48113013010"
48113018506,3265,"48113013009,48113018505,48113013005,48113007811,48113019033,48113019013,48113013011,48113013010,48113018501,48113019019,48113018503"
48113013714,6058,"48113013717,48113013718,48113020700,48113014002,48113013711,48113013712,48113013713,48113013715,48113013901,48113013902"
48113013715,2372,"48113020700,48113013712,48113013714,48113013803"
48113013716,4452,"48113013717,48113013718,48113013720,48113013719,48113020700,48113014002"
48113013717,2755,"48113013718,48113013716,48113014002,48113013714"
