36 5879 19557660
58458 13165 3358
14786 3925 836
86771 21666 7538
23158 7730 2458
9054 3785 394
1901 924 70
44911 8598 4635
28417 9637 2319
7165 1343 397
20485 8159 1726
74171 16314 10555
3726 1267 191
31861 4743 3443
310235 51780 37608
1714773 240161 319191
10497 4212 1244
641 330 31
18212 6325 1277
92565 24913 8831
313166 72653 43075
194851 38662 23041
9232 2073 1869
1637 625 91
7223 613 1937
38106 12010 1621
17187 5316 1491
42750 14595 3785
38066 6516 4663
21381 4638 2118
13544 4858 568
406220 29432 59319
12401 3201 1260
6182 2617 249
30464 9182 2250
8062 1413 526
35096 13278 2939
50845 12896 3466
7041 1802 253
10752 4376 536
3127 679 190
3320 1265 140
8895 3177 387
782341 200395 139837
3057 983 145
20874 6323 1977
108472 44996 14166
13974 4300 788
4087 885 148
38437 13174 2345
75388 12212 5057
1505 486 84
4375 1047 299
3719 980 372
6059 1180 468
2398 280 454
6703 1258 222
2368139 261865 458845
13833 2636 835
19372 2911 1185
5231 1836 400
662614 169175 110000
20097 5510 1161
2444 755 128
9996 974 2173
3677 1225 190
11782 1316 2783
18583 6008 776
137130 24976 10225
2002 741 302
800647 54567 145509
149610 44807 16197
37890 11205 2159
17866 3438 1682
33915 9536 2123
24554 8648 2127
3974 1265 403
6446 1473 435
1336 383 113
585375 117212 134475
10605 3583 665
19816 5995 1461
17217 1232 1401
17526 3907 597
291309 73566 45503
6461 1223 224
24837 10445 2286
1226 553 34
7210 2618 973
19807 4580 1567
22535 6495 699
120877 35274 10276
121730 28693 11623
26604 7065 2194
131533 36495 18308
36273 6347 2090
3353 891 164
8517 3056 479
5613 1730 171
4139 1207 249
54635 19600 2779
4092459 544960 706471
65631 18712 7130
6062 1727 172
5899 1403 314
157107 33730 33117
3807 1460 181
78532 23574 5649
774769 48608 118739
35089 10075 2535
22935 5793 1257
51182 21367 4001
35161 10704 2508
23732 6205 1978
35012 6635 1768
3476 503 324
86129 23866 6301
22150 7039 854
1599 660 90
9044 2973 314
14075 4266 904
35710 10578 2582
2342 694 422
252273 42828 42404
5300 430 1635
40838 5411 6688
150934 44370 10976
20202 4815 935
14824 2959 1144
103350 29537 10265
33410 15663 3633
416 84 99
808 360 59
49625 17658 4665
4607 1697 206
286 149 5
3598 936 457
32061 4364 4713
3719 1078 247
6886 870 1125
49793 14546 3579
13977 3040 770
19677 6371 1479
19263 7339 1170
16612 4996 1372
16801 6391 909
75643 18856 4851
23384 5747 1748
3302 1159 135
11531 3450 739
19301 8283 1825
82 57 4
278831 65566 27956
5915 1546 403
13664 3349 881
10546 2968 1156
4799 1453 266
4012 1656 353
36702 8147 3357
54258 2816 10397
8283 2546 480
234906 48245 27046
707 454 40
46006 12054 4624
2242 681 153
136872 36896 9993
24757 6340 2042
4936 1949 242
9403 1780 353
19719 7526 885
455746 150188 45744
21904 3974 1096
12934 3443 1425
1210 571 40
64524 14751 6822
47735 11984 3998
14445 2961 978
15216 3551 1029
340223 50704 49102
10223 2628 274
2052 850 78
81837 25385 5716
28111 8222 1700
23796 8445 1835
116927 46433 8329
10269 1911 848
15507 2463 1551
45413 26587 7123
121073 19499 7620
7818 652 1458
10914 3919 619
120725 43379 8340
3367 709 167
3309 1382 262
12860 3924 1148
13783 1417 1659
7383 1830 1034
929 524 20
16622 4665 2203
78337 28396 9633
10501 3241 452
53330 14675 3935
10834 3992 614
8865 2620 907
26384 8050 2034
64804 13004 7825
6131 2025 293
3461 819 209
16921 4403 733
3378 1378 103
25448 7171 1757
3034 807 96
209714 58631 22128
8490 3206 540
60968 2218 9246
9630 3033 348
1143 549 70
1490 555 135
4128 1075 313
7854 1671 462
1809034 345683 288001
131506 33172 10047
984 287 140
12651 1295 424
1641 715 84
32334 6405 2538
110224 27376 9117
1024266 126750 306475
14585 4737 1154
21766 6601 1243
39309 13198 2378
3355 961 284
26405 4828 3863
48879 5856 6920
52579 18436 2792
86793 21253 8843
67861 12878 6085
43205 10525 5744
10658 2541 780
33718 10944 3381
250304 12946 42297
41280 10149 4238
5410 2087 194
131500 27609 8752
13535 3166 807
22134 1541 3416
422679 104029 84252
42918 13991 4790
7110 1403 420
59127 20655 3412
41964 15681 2624
7879 1797 426
18550 6587 873
14018 1028 2056
11677 692 2633
