state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
AR, cut, 75, 4, 691239, 698185, 15336.53, 1.32, 15862.60, 0.56, 15862.60, 0.03, 15862.60, 0.03, 0.77, 0.22, 2.17, 4, 0.00, 0, 0.47, 15862.60, 0.00, 15862.60, 1, Y
AR, cut, 75, 4, 698152, 705168, 15605.03, 1.23, 16094.87, 0.52, 16094.87, 0.03, 16094.87, 0.05, 0.77, 0.15, 1.99, 4, 0.00, 0, 0.48, 16094.87, 0.00, 16094.87, 1, Y
AR, cut, 75, 4, 731921, 739275, 16238.83, 1.23, 16812.59, 0.36, 16812.59, 0.04, 16826.29, 0.07, 0.76, 0.19, 1.89, 6, 0.00, 2, 0.51, 16826.29, 0.00, 16826.29, 1, Y
AR, cut, 75, 4, 717879, 725092, 15979.07, 1.19, 16499.24, 0.31, 16499.24, 0.04, 16499.24, 0.03, 0.75, 0.17, 1.75, 4, 0.00, 0, 0.51, 16499.24, 0.00, 16499.24, 1, Y
AR, lcut, 75, 4, 713501, 720670, 16062.72, 1.33, 16680.55, 0.34, 16680.55, 0.03, 16830.54, 0.15, 0.73, 0.56, 2.42, 7, 0.00, 5, 0.52, 16806.53, 0.00, 16806.53, 52, Y
AR, lcut, 75, 4, 696817, 703819, 15628.41, 1.34, 15990.73, 0.31, 15990.73, 0.04, 15990.73, 0.03, 0.81, 0.11, 1.83, 2, 0.00, 0, 0.46, 15990.73, 0.00, 15990.73, 1, Y
AR, lcut, 75, 4, 727218, 734525, 16134.68, 1.22, 16663.49, 0.41, 16663.49, 0.04, 16729.30, 0.09, 0.73, 0.26, 2.02, 6, 0.00, 5, 0.50, 16680.72, 0.00, 16680.72, 57, Y
AR, lcut, 75, 4, 723009, 730275, 16113.04, 1.47, 16542.71, 0.34, 16542.71, 0.03, 16542.71, 0.03, 0.82, 0.06, 1.93, 1, 0.00, 0, 0.49, 16542.71, 0.00, 16542.71, 1, Y
AR, lcut, 75, 4, 718525, 725745, 15929.92, 1.14, 16498.14, 0.42, 16498.14, 0.04, 16498.14, 0.02, 0.76, 0.24, 1.86, 4, 0.00, 0, 0.49, 16498.14, 0.00, 16498.14, 1, Y
AR, lcut, 75, 4, 724901, 732185, 15892.64, 1.39, 16372.92, 0.49, 16372.92, 0.03, 16372.92, 0.04, 0.83, 0.08, 2.03, 2, 0.00, 0, 0.52, 16372.92, 0.00, 16372.92, 1, Y
AR, lcut, 75, 4, 691239, 698185, 15336.53, 1.32, 15862.60, 0.56, 15862.60, 0.03, 15862.60, 0.03, 0.77, 0.22, 2.17, 4, 0.00, 0, 0.47, 15862.60, 0.00, 15862.60, 1, Y
AR, lcut, 75, 4, 698152, 705168, 15605.03, 1.18, 16094.87, 0.52, 16094.87, 0.03, 16094.87, 0.05, 0.77, 0.15, 1.93, 4, 0.00, 0, 0.48, 16094.87, 0.00, 16094.87, 1, Y
AR, lcut, 75, 4, 731921, 739275, 16238.83, 1.28, 16812.59, 0.35, 16812.59, 0.04, 16826.29, 0.07, 0.76, 0.19, 1.92, 6, 0.00, 2, 0.51, 16826.29, 0.00, 16826.29, 1, Y
AR, lcut, 75, 4, 717879, 725092, 15979.07, 1.25, 16499.24, 0.31, 16499.24, 0.04, 16499.24, 0.03, 0.75, 0.17, 1.81, 4, 0.00, 0, 0.51, 16499.24, 0.00, 16499.24, 1, Y
