state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
LA, hess, 1148, 6, 751785, 759339, 13805.17, 3.61, 14832.01, 9.81, 14829.56, 2.71, n/a, n/a, 0.32, 3600.11, 3618.70, n/a, n/a, n/a, 0.02, 14829.56, 6.20, 13909.48, 4, Y
MA, hess, 1478, 9, 723877, 731151, 2558.82, 6.09, 2635.41, 28.06, 2626.48, 22.49, n/a, n/a, 0.41, 3600.39, 3660.61, n/a, n/a, n/a, 0.02, 2626.48, 100.00, 0.00, 0, Y
MD, hess, 1406, 8, 718086, 725302, 5079.56, 5.56, 5084.73, 20.79, 5084.47, 6.00, n/a, n/a, 0.94, 3600.01, 3632.79, n/a, n/a, n/a, 0.02, 5084.32, 0.04, 5082.38, 369, Y
ME, hess, 358, 2, 660860, 667501, 7713.30, 0.30, 7716.04, 0.12, 7716.04, 0.04, n/a, n/a, 1.00, 0.00, 0.47, n/a, n/a, n/a, 0.01, 7716.04, 0.00, 7716.04, 0, Y
MI, hess, 2813, 14, 702445, 709504, 24569.50, 24.79, 24852.60, 74.69, 24685.68, 701.00, n/a, n/a, 0.56, 3600.49, 4410.92, n/a, n/a, n/a, 0.02, 24685.68, 100.00, 0.00, 0, Y
MN, hess, 1338, 8, 659676, 666305, 24207.22, 4.86, 24399.86, 14.99, 24220.52, 169.96, n/a, n/a, 0.89, 3600.02, 3790.51, n/a, n/a, n/a, 0.02, 24220.16, 0.01, 24217.31, 1, Y
MO, hess, 1393, 8, 744873, 752358, 18830.09, 5.47, 21214.64, 22.99, 21214.38, 6.25, n/a, n/a, 0.16, 3600.20, 3639.26, n/a, n/a, n/a, 0.02, 21214.38, 100.00, 0.00, 0, Y
MS, hess, 664, 4, 738116, 745533, 16295.54, 0.98, 16303.82, 1.62, 16303.82, 0.19, n/a, n/a, 1.00, 0.17, 2.99, n/a, n/a, n/a, 0.02, 16303.82, 0.00, 16303.82, 1, Y
MT, hess, 271, 1, 984468, 994362, 55985.28, 0.14, 55985.28, 0.01, 55985.28, 0.00, n/a, n/a, 1.00, 0.00, 0.16, n/a, n/a, n/a, 0.01, 55985.28, 0.00, 55985.28, 0, Y
NC, hess, 2195, 13, 729832, 737166, 14416.66, 14.29, 14723.25, 76.12, 14679.00, 255.49, n/a, n/a, 0.52, 3600.85, 3953.33, n/a, n/a, n/a, 0.02, 14679.00, 100.00, 0.00, 0, Y
