state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
KS, mcf, 770, 4, 709714, 716845, 22654.34, 6.88, 22786.63, 2.61, 22786.63, 0.43, 22786.69, 0.82, 0.85, 
KY, mcf, 1115, 6, 719612, 726843, 14793.25, 14.79, 14835.66, 8.37, 14833.72, 1.94, 14835.16, 0.98, 0.96, 
LA, mcf, 1148, 6, 751785, 759339, 13805.17, 16.49, 14832.01, 9.85, 14829.56, 2.72, 14830.45, 1.37, 0.48, 
MA, mcf, 1478, 9, 723877, 731151, 2558.82, 29.34, 2635.41, 27.95, 2626.48, 22.81, 2627.03, 3.10, 0.57, 
MD, mcf, 1406, 8, 718086, 725302, 5079.56, 25.73, 5084.73, 20.54, 5084.47, 5.94, 5084.53, 3.20, 0.95, 
ME, mcf, 358, 2, 660860, 667501, 7713.30, 1.63, 7716.04, 0.15, 7716.04, 0.04, 7716.04, 0.03, 1.00, 
MI, mcf, 2813, 14, 702445, 709504, 24569.50, 114.66, 24852.60, 74.26, 24685.68, 699.78, 24686.55, 15.53, 0.71, 
MN, mcf, 1338, 8, 659676, 666305, 24207.22, 23.85, 24399.86, 15.05, 24220.52, 171.76, 24224.19, 31.32, 0.87, 
MO, mcf, 1393, 8, 744873, 752358, 18830.09, 23.67, 21214.64, 23.06, 21214.38, 6.35, 21222.79, 2.34, 0.44, 
MS, mcf, 664, 4, 738116, 745533, 16295.54, 5.09, 16303.82, 1.61, 16303.82, 0.19, 16308.89, 0.24, 1.00, 
MT, mcf, 271, 1, 984468, 994362, 55985.28, 0.58, 55985.28, 0.01, 55985.28, 0.00, 55985.28, 0.01, 1.00, NC, mcf, 2195, 13, 729832, 737166, 14416.66, 61.47, 14723.25, 77.00, 14679.00, 256.03, 14680.02, 20.32, 0.77, 
ND, mcf, 205, 1, 669229, 675953, 24001.24, 0.31, 24001.24, 0.01, 24001.24, 0.00, 24001.24, 0.01, 1.00, NE, mcf, 532, 3, 605737, 611824, 21975.38, 3.72, 21983.42, 1.52, 21983.42, 0.21, 21983.42, 0.09, 0.99, 
NH, mcf, 295, 2, 654944, 661526, 2687.72, 1.02, 2689.07, 0.15, 2689.07, 0.03, 2688.28, 0.12, 1.00, 
NJ, mcf, 2010, 12, 728995, 736321, 2250.25, 51.79, 2293.00, 50.31, 2291.51, 163.17, 2291.51, 3.71, 0.70, 
NM, mcf, 499, 3, 682962, 689824, 31575.28, 2.81, 31603.09, 1.04, 31598.10, 0.68, 31608.19, 0.17, 0.95, 
NV, mcf, 687, 4, 671763, 678513, 11367.90, 7.69, 12443.84, 4.77, 12443.84, 1.19, 12497.05, 0.23, 0.43, 
NY, mcf, 4919, 27, 714119, 721296, 15405.98, 333.88, 16704.56, 2243.88, 16700.05, 11589.54, 16700.81, 1302.45, 0.45, OH, mcf, 2952, 16, 717427, 724636, 11520.54, 111.52, 12011.70, 183.02, 11908.25, 1757.83, 11911.64, 116.25, 0.65, 
OK, mcf, 1046, 5, 746519, 754021, 19106.02, 17.09, 19132.60, 3.03, 19132.60, 0.55, 19131.99, 0.78, 0.99, 
OR, mcf, 834, 5, 762384, 770045, 26742.01, 10.27, 26750.75, 3.66, 26750.23, 5.92, 26750.15, 0.75, 0.98, 
PA, mcf, 3218, 18, 702160, 709216, 11424.45, 133.72, 11829.87, 488.45, 11799.41, 6183.44, 11806.00, 41.68, 0.66, 
RI, mcf, 244, 2, 523653, 528914, 228.33, 0.83, 228.42, 0.20, 228.42, 0.02, 228.42, 0.02, 0.99, 
SC, mcf, 1103, 7, 657463, 664070, 8356.08, 14.96, 9322.10, 9.95, 9293.98, 3.59, 9294.45, 1.61, 0.40, 
SD, mcf, 222, 1, 810110, 818250, 42520.48, 0.41, 42520.48, 0.01, 42520.48, 0.00, 42520.48, 0.01, 1.00, TN, mcf, 1497, 9, 701598, 708648, 10783.27, 27.24, 13092.43, 31.97, 13092.08, 17.19, 13092.08, 2.97, 0.44, 
TX, mcf, 5265, 36, 694996, 701980, 57770.13, 496.04, 73026.20, 3513.02, 72846.42, 11174.99, 72860.21, 967.31, 0.14, 
UT, mcf, 588, 4, 687517, 694426, 22029.31, 4.21, 22038.91, 0.94, 22035.62, 0.76, 22037.00, 0.41, 0.97, 
VA, mcf, 1907, 11, 723729, 731002, 12836.67, 47.26, 13817.93, 96.82, 13814.08, 283.64, 13815.25, 11.82, 0.49, 
VT, mcf, 184, 1, 622613, 628869, 3390.86, 0.28, 3390.86, 0.01, 3390.86, 0.00, 3390.86, 0.01, 0.99, 
WA, mcf, 1458, 10, 669092, 675816, 12376.66, 28.17, 12604.21, 38.17, 12604.21, 9.61, 12609.09, 24.63, 0.61, 
WI, mcf, 1409, 8, 707319, 714427, 16272.83, 25.66, 16373.86, 19.98, 16340.39, 8.93, 16340.81, 3.54, 0.84, 
WV, mcf, 484, 3, 614577, 620753, 10789.79, 2.48, 11801.80, 0.58, 11801.80, 0.10, 11834.84, 0.19, 0.58, 
WY, mcf, 132, 1, 560808, 566444, 27412.80, 0.15, 27412.80, 0.01, 27412.80, 0.00, 27412.80, 0.01, 0.99, 16.73, 30.39, n/a, n/a, n/a, 0.02, 27412.80, 0.00, 27412.80, 0, Y
AK, shir, 167, 1, 706680, 713782, 167255.05, 0.21, 167255.05, 0.01, 167255.05, 0.00, 167255.05, 0.01, 0.99, 0.00, 0.23, n/a, n/a, n/a, 0.02, 167255.05, 0.00, 167255.05, 0, Y
AL, shir, 1181, 7, 679406, 686233, 13058.24, 17.02, 13551.28, 11.08, 13510.26, 6.37, 13510.26, 0.62, 0.68, 3601.52, 3644.60, n/a, n/a, n/a, 0.02, 13510.26, 100.00, 0.00, 0, Y
AR, shir, 686, 4, 725335, 732624, 15490.50, 5.64, 15565.41, 3.57, 15565.41, 0.25, 15569.97, 0.26, 0.97, 119.47, 129.53, n/a, n/a, n/a, 0.02, 15569.97, 0.00, 15569.97, 514, Y
AZ, shir, 1526, 9, 706674, 713775, 29479.16, 31.11, 30224.79, 20.71, 30219.11, 61.42, 30220.39, 6.34, 0.33, 3606.63, 3743.73, n/a, n/a, n/a, 0.02, 30220.39, 100.00, 0.00, 0, Y
CA, shir, 8057, 53, 699391, 706419, 26238.24, 982.65, 27544.62, 5219.50, 27544.62, 16730.09, big number, 3605.40, 0.00,
CO, shir, 1249, 7, 714865, 722048, 19715.16, 19.57, 19920.94, 12.51, 19916.43, 3.62, 19918.36, 1.34, 0.53, 3608.69, 3655.35, n/a, n/a, n/a, 0.02, 19918.36, 100.00, 0.00, 0, Y
CT, shir, 833, 5, 711246, 718393, 1420.41, 8.15, 1422.45, 3.60, 1422.13, 0.84, 1422.13, 0.27, 0.99, 32.21, 45.32, n/a, n/a, n/a, 0.01, 1422.13, 0.00, 1422.13, 97, Y
DE, shir, 218, 1, 893445, 902423, 2297.33, 0.43, 2297.33, 0.01, 2297.33, 0.00, 2297.33, 0.01, 1.00, 0.00, 0.46, n/a, n/a, n/a, 0.01, 2297.33, 0.00, 2297.33, 0, Y
FL, shir, 4245, 27, 692864, 699826, 14766.11, 263.37, 15252.19, 1033.83, 15222.31, 6639.65, 15225.47, 129.16, 0.65, 
GA, shir, 1969, 14, 688516, 695435, 15836.59, 51.35, 15961.65, 129.13, 15955.65, 111.94, 15955.65, 2.58, 0.79, 3605.01, 3916.46, n/a, n/a, n/a, 0.03, 15955.65, 100.00, 0.00, 0, Y
HI, shir, 351, 2, 676750, 683551, 13990.50, 1.64, 13993.43, 0.15, 13991.27, 0.05, 13991.95, 0.10, 1.00, 0.15, 2.10, n/a, n/a, n/a, 0.02, 13991.63, 0.00, 13991.63, 83, Y
IA, shir, 825, 4, 757781, 765396, 18164.68, 8.13, 18202.13, 2.29, 18202.13, 0.36, 18206.43, 0.66, 0.97, 276.96, 289.00, n/a, n/a, n/a, 0.03, 18176.37, 0.00, 18176.37, 262, Y
ID, shir, 298, 2, 779873, 787709, 53913.93, 1.15, 53930.05, 0.18, 53930.05, 0.04, 53916.36, 0.02, 1.00, 0.02, 1.42, n/a, n/a, n/a, 0.03, 53916.36, 0.00, 53916.36, 0, Y
IL, shir, 3123, 18, 709249, 716376, 15815.07, 125.69, 16086.19, 570.89, 16067.49, 13745.02, 16091.05, 83.85, 0.55, 
IN, shir, 1511, 9, 716821, 724024, 11061.11, 28.73, 11084.81, 23.06, 11084.81, 5.08, 11085.37, 4.47, 0.97, 3600.23, 3663.94, n/a, n/a, n/a, 0.03, 11081.76, 0.06, 11075.06, 1745, Y
KS, shir, 770, 4, 709714, 716845, 22654.34, 6.85, 22786.63, 2.63, 22786.63, 0.43, 22786.69, 0.83, 0.85, 3600.13, 3612.51, n/a, n/a, n/a, 0.02, 22786.69, 0.01, 22784.53, 6522, Y
KY, shir, 1115, 6, 719612, 726843, 14793.25, 13.86, 14835.66, 8.27, 14833.72, 1.92, 14835.16, 0.99, 0.96, 2272.44, 2298.95, n/a, n/a, n/a, 0.02, 14835.16, 0.00, 14835.16, 6308, Y
LA, shir, 1148, 6, 751785, 759339, 13805.17, 16.55, 14832.01, 9.84, 14829.56, 2.69, 14830.45, 1.37, 0.48, 3600.67, 3640.28, n/a, n/a, n/a, 0.02, 14830.45, 100.00, 0.00, 0, Y
MA, shir, 1478, 9, 723877, 731151, 2558.82, 28.85, 2635.41, 27.83, 2626.48, 22.53, 2627.03, 3.07, 0.57, 3601.05, 3697.35, n/a, n/a, n/a, 0.02, 2627.03, 100.00, 0.00, 0, Y
MD, shir, 1406, 8, 718086, 725302, 5079.56, 26.08, 5084.73, 20.58, 5084.47, 5.94, 5084.53, 3.22, 0.95, 3600.16, 3658.54, n/a, n/a, n/a, 0.02, 5084.53, 0.08, 5080.71, 1, Y
ME, shir, 358, 2, 660860, 667501, 7713.30, 1.65, 7716.04, 0.14, 7716.04, 0.04, 7716.04, 0.03, 1.00, 0.02, 1.90, n/a, n/a, n/a, 0.01, 7716.04, 0.00, 7716.04, 0, Y
MI, shir, 2813, 14, 702445, 709504, 24569.50, 111.47, 24852.60, 73.38, 24685.68, 700.69, 24686.55, 15.48, 0.71, 
MN, shir, 1338, 8, 659676, 666305, 24207.22, 23.83, 24399.86, 15.04, 24220.52, 171.23, 24224.19, 31.22, 0.87, 3600.31, 3846.43, n/a, n/a, n/a, 0.02, 24223.84, 0.06, 24210.23, 1, Y
MO, shir, 1393, 8, 744873, 752358, 18830.09, 22.65, 21214.64, 22.83, 21214.38, 6.20, 21222.79, 2.32, 0.44, 3601.37, 3670.48, n/a, n/a, n/a, 0.02, 21222.79, 100.00, 0.00, 0, Y
MS, shir, 664, 4, 738116, 745533, 16295.54, 5.03, 16303.82, 1.61, 16303.82, 0.19, 16308.89, 0.24, 1.00, 1.57, 8.71, n/a, n/a, n/a, 0.02, 16305.45, 0.00, 16305.45, 1, Y
MT, shir, 271, 1, 984468, 994362, 55985.28, 0.62, 55985.28, 0.01, 55985.28, 0.00, 55985.28, 0.01, 1.00, 0.01, 0.66, n/a, n/a, n/a, 0.01, 55985.28, 0.00, 55985.28, 0, Y
NC, shir, 2195, 13, 729832, 737166, 14416.66, 59.25, 14723.25, 75.61, 14679.00, 256.28, 14680.02, 20.16, 0.77, 3605.90, 4042.94, n/a, n/a, n/a, 0.02, 14680.02, 100.00, 0.00, 0, Y
ND, shir, 205, 1, 669229, 675953, 24001.24, 0.32, 24001.24, 0.01, 24001.24, 0.00, 24001.24, 0.01, 1.00, 0.00, 0.35, n/a, n/a, n/a, 0.04, 24001.24, 0.00, 24001.24, 0, Y
NE, shir, 532, 3, 605737, 611824, 21975.38, 3.56, 21983.42, 1.09, 21983.42, 0.21, 21983.42, 0.10, 0.99, 2.40, 7.40, n/a, n/a, n/a, 0.01, 21983.42, 0.00, 21983.42, 176, Y
NH, shir, 295, 2, 654944, 661526, 2687.72, 1.01, 2689.07, 0.15, 2689.07, 0.03, 2688.28, 0.12, 1.00, 0.13, 1.45, n/a, n/a, n/a, 0.01, 2688.28, 0.00, 2688.28, 1, Y
NJ, shir, 2010, 12, 728995, 736321, 2250.25, 50.66, 2293.00, 50.44, 2291.51, 162.69, 2291.51, 3.69, 0.70, 3601.71, 3892.46, n/a, n/a, n/a, 0.02, 2291.51, 100.00, 0.00, 0, Y
NM, shir, 499, 3, 682962, 689824, 31575.28, 2.81, 31603.09, 1.05, 31598.10, 0.69, 31608.19, 0.17, 0.95, 216.76, 221.74, n/a, n/a, n/a, 0.02, 31603.15, 0.00, 31603.15, 693, Y
NV, shir, 687, 4, 671763, 678513, 11367.90, 7.45, 12443.84, 4.72, 12443.84, 1.18, 12497.05, 0.23, 0.43, 3600.23, 3617.42, n/a, n/a, n/a, 0.02, 12497.05, 9.03, 11368.70, 1, Y
NY, shir, 4919, 27, 714119, 721296, 15405.98, 334.33, 16704.56, 2240.68, 16700.05, 11579.45, 16700.81, 1302.17, 0.45, 
OH, shir, 2952, 16, 717427, 724636, 11520.54, 114.58, 12011.70, 182.84, 11908.25, 1751.20, 11911.64, 115.78, 0.65,
OK, shir, 1046, 5, 746519, 754021, 19106.02, 16.84, 19132.60, 3.38, 19132.60, 0.54, 19131.99, 0.77, 0.99, 17.94, 39.83, n/a, n/a, n/a, 0.02, 19107.72, 0.00, 19107.72, 1, Y
OR, shir, 834, 5, 762384, 770045, 26742.01, 10.18, 26750.75, 3.58, 26750.23, 5.91, 26750.15, 0.75, 0.98, 733.67, 754.49, n/a, n/a, n/a, 0.02, 26749.74, 0.00, 26749.74, 12415, Y
PA, shir, 3218, 18, 702160, 709216, 11424.45, 134.04, 11829.87, 484.66, 11799.41, 6181.41, 11806.00, 41.85, 0.66, 
RI, shir, 244, 2, 523653, 528914, 228.33, 0.82, 228.42, 0.25, 228.42, 0.02, 228.42, 0.02, 0.99, 0.02, 1.13, n/a, n/a, n/a, 0.02, 228.42, 0.00, 228.42, 0, Y
SC, shir, 1103, 7, 657463, 664070, 8356.08, 14.50, 9322.10, 9.81, 9293.98, 3.54, 9294.45, 1.56, 0.40, 3600.68, 3639.79, n/a, n/a, n/a, 0.03, 9294.45, 100.00, 0.00, 0, Y
SD, shir, 222, 1, 810110, 818250, 42520.48, 0.41, 42520.48, 0.01, 42520.48, 0.00, 42520.48, 0.01, 1.00, 0.00, 0.44, n/a, n/a, n/a, 0.01, 42520.48, 0.00, 42520.48, 0, Y
TN, shir, 1497, 9, 701598, 708648, 10783.27, 26.75, 13092.43, 31.63, 13092.08, 16.96, 13092.08, 2.96, 0.44, 3601.39, 3698.65, n/a, n/a, n/a, 0.03, 13092.08, 100.00, 0.00, 0, Y
TX, shir, 5265, 36, 694996, 701980, 57770.13, 471.35, 73026.20, 3514.59, 72846.42, 11172.75, 72860.21, 965.71, 0.14, 
UT, shir, 588, 4, 687517, 694426, 22029.31, 4.23, 22038.91, 1.11, 22035.62, 0.78, 22037.00, 0.41, 0.97, 44.09, 50.85, n/a, n/a, n/a, 0.03, 22037.00, 0.00, 22037.00, 1451, Y
VA, shir, 1907, 11, 723729, 731002, 12836.67, 47.40, 13817.93, 96.52, 13814.08, 284.74, 13815.25, 11.71, 0.49,
VT, shir, 184, 1, 622613, 628869, 3390.86, 0.36, 3390.86, 0.31, 3390.86, 0.01, 3390.86, 0.04, 0.99, 0.01, 0.74, n/a, n/a, n/a, 0.01, 3390.86, 0.00, 3390.86, 0, Y
WA, shir, 1458, 10, 669092, 675816, 12376.66, 27.35, 12604.21, 37.97, 12604.21, 9.50, 12609.09, 24.56, 0.61, 3600.90, 3712.45, n/a, n/a, n/a, 0.02, 12609.09, 100.00, 0.00, 0, Y
WI, shir, 1409, 8, 707319, 714427, 16272.83, 25.05, 16373.86, 19.78, 16340.39, 8.83, 16340.81, 3.55, 0.84, 3601.66, 3665.77, n/a, n/a, n/a, 0.02, 16340.81, 100.00, 0.00, 0, Y
WV, shir, 484, 3, 614577, 620753, 10789.79, 2.48, 11801.80, 0.58, 11801.80, 0.10, 11834.84, 0.19, 0.58, 3600.75, 3605.33, n/a, n/a, n/a, 0.02, 11834.84, 7.58, 10937.99, 1, Y
WY, shir, 132, 1, 560808, 566444, 27412.80, 0.18, 27412.80, 0.01, 27412.80, 0.00, 27412.80, 0.01, 0.99, 0.00, 0.20, n/a, n/a, n/a, 0.02, 27412.80, 0.00, 27412.80, 0, Y
