OK, hess, 1046, 5, 746519, 754021, 19106.02, 3.31, 19132.60, 3.06, 19132.60, 0.55, n/a, n/a, 0.99, 2.63, 9.65, n/a, n/a, n/a, 0.02, 19107.72, 0.00, 19107.72, 5253, Y
OK, cut, 1046, 5, 746519, 754021, 19106.02, 17.14, 19132.60, 3.01, 19132.60, 0.55, 19131.99, 0.78, 0.99, 2.30, 23.88, 16, 0.04, 14, 0.02, 19107.72, 0.00, 19107.72, 640, Y
OK, shir, 1046, 5, 746519, 754021, 19106.02, 17.19, 19132.60, 3.06, 19132.60, 0.55, 19131.99, 0.78, 0.99, 41.05, 62.99, n/a, n/a, n/a, 0.02, 19107.72, 0.00, 19107.72, 1396, Y
AL, hess, 1181, 7, 679406, 686233, 13058.24, 3.86, 13551.28, 11.06, 13510.26, 6.36, n/a, n/a, 0.49, 3600.07, 3623.39, n/a, n/a, n/a, 0.02, 13510.26, 3.23, 13073.21, 1, Y
