state, model, nodes, k, L, U, LB, LB Time, UB, UB Time, UB LS, UB LS Time, UB cont, UB cont time, percent fixed, IP Time, Total Time, Num Callbacks, Callback Time, Num Cuts, Overty, Objval, Mipgap, Objbound, NodeCount, Found feasbile?
NC, shir, 100, 13, 729832, 737166, 16265.51, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.04, 0.23, n/a, n/a, n/a, 1.25, infeasible, , , 0, N
ND, shir, 53, 1, 669229, 675953, 21245.45, 0.02, 21245.45, 0.01, 21245.45, 0.00, 21245.45, 0.00, 0.98, 0.00, 0.03, n/a, n/a, n/a, 0.22, 21245.45, 0.00, 21245.45, 0, Y
NE, shir, 93, 3, 605737, 611824, 21963.98, 0.09, 22112.00, 0.21, 22112.00, 0.03, 22193.01, 0.10, 0.98, 0.14, 0.57, n/a, n/a, n/a, 0.85, 22193.01, 0.00, 22193.01, 25, Y
NH, shir, 10, 2, 654944, 661526, 2597.16, 0.00, 3641.24, 0.01, 3641.24, 0.00, infinity, 0.01, 0.00, 0.10, 0.12, n/a, n/a, n/a, 0.61, infeasible, , , 379, N
NJ, shir, 21, 12, 728995, 736321, 5221.40, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, n/a, n/a, n/a, 1.23, infeasible, , , 0, N
NM, shir, 33, 3, 682962, 689824, 31680.85, 0.01, 32847.05, 0.06, 32847.05, 0.01, 32944.25, 0.02, 0.91, 0.01, 0.11, n/a, n/a, n/a, 0.96, 32944.25, 0.00, 32944.25, 1, Y
NV, shir, 17, 4, 671763, 678513, 122585.20, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, n/a, n/a, n/a, 2.88, infeasible, , , 0, N
NY, shir, 62, 27, 714119, 721296, 434745.18, 0.03, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.10, n/a, n/a, n/a, 3.47, infeasible, , , 0, N
OH, shir, 88, 16, 717427, 724636, 15750.72, 0.07, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.03, 0.19, n/a, n/a, n/a, 1.77, infeasible, , , 0, N
OK, shir, 77, 5, 746519, 754021, 20021.19, 0.06, 21527.57, 0.38, 21527.57, 0.06, 21925.53, 0.31, 0.69, 4.23, 5.06, n/a, n/a, n/a, 0.95, 21756.50, 0.00, 21756.50, 149, Y
OR, shir, 36, 5, 762384, 770045, 26589.64, 0.03, 31424.49, 0.23, 31424.49, 0.03, infinity, 0.01, 0.00, 0.27, 0.59, n/a, n/a, n/a, 0.95, infeasible, , , 1, N
PA, shir, 67, 18, 702160, 709216, 26137.54, 0.04, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.11, n/a, n/a, n/a, 2.15, infeasible, , , 0, N
RI, shir, 5, 2, 523653, 528914, 631.79, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.00, n/a, n/a, n/a, 1.18, infeasible, , , 0, N
SC, shir, 46, 7, 657463, 664070, 8842.98, 0.02, 12806.86, 2.58, 12806.86, 0.25, infinity, 3.94, 0.00, 3600.00, 3606.82, n/a, n/a, n/a, 0.68, ?, 14425.29, 14425.29, 1781524, N
SD, shir, 66, 1, 810110, 818250, 39052.91, 0.05, 39052.91, 0.01, 39052.91, 0.00, 39052.91, 0.00, 0.98, 0.00, 0.07, n/a, n/a, n/a, 0.21, 39052.91, 0.00, 39052.91, 0, Y
TN, shir, 95, 9, 701598, 708648, 13264.64, 0.08, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.03, 0.21, n/a, n/a, n/a, 1.31, infeasible, , , 0, N
TX, shir, 254, 36, 694996, 701980, 105166.00, 0.61, infinity, 0.07, infinity, 0.00, n/a, n/a, 0.00, 0.28, 1.61, n/a, n/a, n/a, 5.83, infeasible, , , 0, N
UT, shir, 29, 4, 687517, 694426, 24981.97, 0.01, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.02, n/a, n/a, n/a, 1.48, infeasible, , , 0, N
VA, shir, 134, 11, 723729, 731002, 13661.82, 0.15, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.06, 0.40, n/a, n/a, n/a, 1.48, infeasible, , , 0, N
VT, shir, 14, 1, 622613, 628869, 3400.27, 0.00, 3400.27, 0.00, 3400.27, 0.00, 3400.27, 0.00, 0.93, 0.00, 0.01, n/a, n/a, n/a, 0.25, 3400.27, 0.00, 3400.27, 0, Y
WA, shir, 39, 10, 669092, 675816, 32193.88, 0.01, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.01, 0.04, n/a, n/a, n/a, 2.86, infeasible, , , 0, N
WI, shir, 72, 8, 707319, 714427, 18159.78, 0.05, infinity, 0.01, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.12, n/a, n/a, n/a, 1.33, infeasible, , , 0, N
WV, shir, 55, 3, 614577, 620753, 10819.43, 0.03, 11844.76, 0.23, 11844.76, 0.02, 12000.62, 0.03, 0.57, 1.35, 1.68, n/a, n/a, n/a, 0.31, 12000.62, 0.00, 12000.62, 66, Y
WY, shir, 23, 1, 560808, 566444, 25615.88, 0.00, 25615.88, 0.02, 25615.88, 0.00, 25615.88, 0.00, 0.96, 0.00, 0.03, n/a, n/a, n/a, 0.16, 25615.88, 0.00, 25615.88, 0, Y
AK, cut, 29, 1, 706680, 713782, 208749.73, 0.00, 208749.73, 0.02, 208749.73, 0.00, 208749.73, 0.00, 0.97, 0.00, 0.03, 1, 0.00, 0, 0.41, 208749.73, 0.00, 208749.73, 0, Y
AL, cut, 67, 7, 679406, 686233, 14028.40, 0.04, 15519.54, 1.65, 15519.54, 0.19, infinity, 0.02, 0.00, 19.02, 20.94, 39, 0.01, 431, 0.96, 16627.25, 0.00, 16627.25, 5284, Y
AR, cut, 75, 4, 725335, 732624, 16003.91, 0.08, 16525.07, 0.29, 16525.07, 0.04, 16713.22, 0.19, 0.86, 0.36, 0.96, 8, 0.00, 4, 0.52, 16543.15, 0.00, 16543.15, 19, Y
AZ, cut, 15, 9, 706674, 713775, 165506.85, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.01, 0, 0.00, 0, 5.35, infeasible, , , 0, N
CA, cut, 58, 53, 699391, 706419, 11055919.43, 0.08, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.12, 0, 0.00, 0, 13.90, infeasible, , , 0, N
CO, cut, 64, 7, 714865, 722048, 22614.86, 0.04, 35466.64, 1.74, 35466.64, 0.11, infinity, 0.03, 0.00, 3600.00, 3601.95, 508, 0.12, 7748, 0.86, ?, 47501.70, 47501.70, 769514, N
CT, cut, 8, 5, 711246, 718393, 10544.47, 0.00, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.03, 0, 0.00, 0, 1.28, infeasible, , , 0, N
DE, cut, 3, 1, 893445, 902423, 2083.12, 0.00, 2083.12, 0.00, 2083.12, 0.00, 2083.12, 0.00, 0.67, 0.00, 0.01, 1, 0.00, 0, 0.60, 2083.12, 0.00, 2083.12, 0, Y
FL, cut, 67, 27, 692864, 699826, 114492.72, 0.03, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.07, 0, 0.00, 0, 3.57, infeasible, , , 0, N
GA, cut, 159, 14, 688516, 695435, 17108.83, 0.22, infinity, 0.02, infinity, 0.00, n/a, n/a, 0.00, 0.02, 0.33, 0, 0.00, 0, 1.32, infeasible, , , 0, N
HI, cut, 5, 2, 676750, 683551, 426140.67, 0.00, infinity, 0.00, infinity, 0.00, n/a, n/a, 0.00, 0.00, 0.00, 0, 0.00, 0, 1.39, infeasible, , , 0, N
IA, cut, 99, 4, 757781, 765396, 17438.54, 0.08, 17748.05, 0.47, 17748.05, 0.06, 17748.05, 0.07, 0.95, 0.20, 0.87, 5, 0.00, 0, 0.56, 17748.05, 0.00, 17748.05, 22, Y
ID, cut, 44, 2, 779873, 787709, 57106.52, 0.02, 61232.58, 0.03, 61232.58, 0.01, 61232.58, 0.01, 0.87, 0.02, 0.09, 1, 0.00, 0, 0.50, 61232.58, 0.00, 61232.58, 1, Y
